season,team1,team2
2017,Sunrisers Hyderabad,Royal Challengers Bangalore
2017,Mumbai Indians,Rising Pune Supergiants
2017,Gujarat Lions,Kolkata Knight Riders
2017,Rising Pune Supergiants,Kings XI Punjab
2017,Royal Challengers Bangalore,Delhi Daredevils
2017,Gujarat Lions,Sunrisers Hyderabad
2017,Kolkata Knight Riders,Mumbai Indians
2017,Royal Challengers Bangalore,Kings XI Punjab
2017,Delhi Daredevils,Rising Pune Supergiants
2017,Sunrisers Hyderabad,Mumbai Indians
2017,Kings XI Punjab,Kolkata Knight Riders
2017,Royal Challengers Bangalore,Mumbai Indians
2017,Rising Pune Supergiants,Gujarat Lions
2017,Kolkata Knight Riders,Sunrisers Hyderabad
2017,Delhi Daredevils,Kings XI Punjab
2017,Gujarat Lions,Mumbai Indians
2017,Rising Pune Supergiants,Royal Challengers Bangalore
2017,Delhi Daredevils,Kolkata Knight Riders
2017,Sunrisers Hyderabad,Kings XI Punjab
2017,Royal Challengers Bangalore,Gujarat Lions
2017,Sunrisers Hyderabad,Delhi Daredevils
2017,Kings XI Punjab,Mumbai Indians
2017,Kolkata Knight Riders,Gujarat Lions
2017,Mumbai Indians,Delhi Daredevils
2017,Sunrisers Hyderabad,Rising Pune Supergiants
2017,Kings XI Punjab,Gujarat Lions
2017,Kolkata Knight Riders,Royal Challengers Bangalore
2017,Rising Pune Supergiants,Mumbai Indians
2017,Rising Pune Supergiants,Kolkata Knight Riders
2017,Royal Challengers Bangalore,Gujarat Lions
2017,Delhi Daredevils,Kolkata Knight Riders
2017,Sunrisers Hyderabad,Kings XI Punjab
2017,Rising Pune Supergiants,Royal Challengers Bangalore
2017,Gujarat Lions,Mumbai Indians
2017,Delhi Daredevils,Kings XI Punjab
2017,Sunrisers Hyderabad,Kolkata Knight Riders
2017,Royal Challengers Bangalore,Mumbai Indians
2017,Gujarat Lions,Rising Pune Supergiants
2017,Sunrisers Hyderabad,Delhi Daredevils
2017,Kolkata Knight Riders,Rising Pune Supergiants
2017,Gujarat Lions,Delhi Daredevils
2017,Kings XI Punjab,Royal Challengers Bangalore
2017,Rising Pune Supergiants,Sunrisers Hyderabad
2017,Mumbai Indians,Delhi Daredevils
2017,Royal Challengers Bangalore,Kolkata Knight Riders
2017,Kings XI Punjab,Gujarat Lions
2017,Mumbai Indians,Sunrisers Hyderabad
2017,Kings XI Punjab,Kolkata Knight Riders
2017,Gujarat Lions,Delhi Daredevils
2017,Kings XI Punjab,Mumbai Indians
2017,Delhi Daredevils,Rising Pune Supergiants
2017,Gujarat Lions,Sunrisers Hyderabad
2017,Mumbai Indians,Kolkata Knight Riders
2017,Kings XI Punjab,Rising Pune Supergiants
2017,Royal Challengers Bangalore,Delhi Daredevils
2017,Rising Pune Supergiants,Mumbai Indians
2017,Sunrisers Hyderabad,Kolkata Knight Riders
2017,Kolkata Knight Riders,Mumbai Indians
2017,Mumbai Indians,Rising Pune Supergiants
2008,Kolkata Knight Riders,Royal Challengers Bangalore
2008,Chennai Super Kings,Kings XI Punjab
2008,Rajasthan Royals,Delhi Daredevils
2008,Mumbai Indians,Royal Challengers Bangalore
2008,Deccan Chargers,Kolkata Knight Riders
2008,Kings XI Punjab,Rajasthan Royals
2008,Deccan Chargers,Delhi Daredevils
2008,Chennai Super Kings,Mumbai Indians
2008,Deccan Chargers,Rajasthan Royals
